 * Best model 	25.353835978836	4.8430186711437	
 * Best model 	19.524413665039	2.7240728021978	
 * Best model 	16.515917531543	2.5105247761498	
 * Best model 	15.660358160358	2.3553876678877	
 * Best model 	15.303151709402	2.2794884513635	
 * Best model 	14.494842541718	2.1205357142857	
 * Best model 	14.47764041514	2.0336983618234	
 * Best model 	14.030385124135	2.01903998779	
 * Best model 	13.144491503867	2.0718864468864	
 * Best model 	13.077781593407	1.7538855820106	
 * Best model 	12.854376526252	2.0026963776964	
 * Best model 	12.444355413105	1.6770642551893	
 * Best model 	12.075574888075	1.827241045991	
 * Best model 	12.040153133903	1.6849180911681	
 * Best model 	11.171906796907	1.53400997151	
 * Best model 	11.081571784697	1.5804334554335	
 * Best model 	11.076198107448	1.6056484025234	
